Overseas Plants,Model,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
HAOS,Bayon (BC3 CUV),Export," 4,313 "," 3,357 "," 2,476 "," 2,523 "," 4,647 "," 2,965 "," 4,554 "," 3,320 "," 3,367 "," 3,184 "," 2,010 "," 1,358 "
HAOS,i20 N (BC3 N),Export, 887 , 596 , 734 , 538 , 146 , 292 , 171 , 143 , 360 , 224 , 16 , - 
BHMC, Elantra (CN7c),Domestic," 7,008 "," 6,631 "," 12,105 "," 5,301 "," 7,129 "," 5,845 "," 1,803 "," 3,054 "," 3,843 "," 2,373 "," 2,396 "," 3,149 "
BHMC, Sonata (DN8c),Domestic, 22 , 273 ," 1,103 "," 2,038 "," 2,088 "," 1,913 ", 821 , 770 , 767 , 756 , 985 ," 1,248 "
BHMC, Custo (KU),Domestic, 748 , 423 , 891 , 482 ," 1,047 ", 905 , 635 , 851 ," 1,112 "," 1,273 ", 800 ," 1,443 "
BHMC, Mufasa (NU2),Domestic," 2,595 "," 2,012 "," 3,779 ", 624 , 908 , 991 , 387 , 324 , 628 , 780 , 466 ," 1,758 "
BHMC, La festa (SQ),Domestic, 52 , 10 , 326 , 604 , - , - , - , 2 , 3 , - , - , - 
BHMC, Verna (YC),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
BHMC, Celesta (ID),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
BHMC, Mistra (DU2),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
BHMC, Tucson (NX4c),Domestic," 3,567 "," 2,741 "," 2,740 ", 897 ," 1,791 "," 1,750 "," 1,053 "," 1,625 "," 1,837 ", 866 ," 2,082 "," 1,359 "
BHMC, Tucson HEV (NX4c HEV),Domestic, 1 , - , - , - , - , - , 1 , - , - , - , - , 14 
BHMC, ix35 (NU),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
BHMC, Santa Fe (MX5c),Domestic, - , - , - , - , - , - , - , 264 , 810 , 342 , 271 , 258 
BHMC, Santa Fe (TMc),Domestic, 60 , 20 , 59 , 55 , 37 , 7 , 3 , 110 , - , 60 , - , 167 
BHMC,BHMC,Export,171 ,- ,437 ,"2,644 ","3,617 ","3,113 ","2,517 ","6,007 ","6,394 ","4,733 ","9,349 ","5,656 "
HMMA,Elantra (CN7a),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMA,Sonata (DN8a),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMA,Tucson (NX4a),Domestic," 15,840 "," 11,553 "," 12,313 "," 11,016 "," 6,689 "," 12,834 "," 7,944 "," 14,515 "," 11,447 "," 14,717 "," 12,167 "," 10,065 "
HMMA,Tucson OB (NX4a OB),Domestic," 4,644 "," 3,729 "," 2,786 "," 3,196 "," 3,427 "," 2,193 "," 1,078 "," 2,262 "," 2,484 "," 2,406 "," 1,741 "," 1,693 "
HMMA,Santa-Fe (TMa),Domestic," 1,895 ", 35 , 3 , 2 , - , - , - , - , - , - , - , - 
HMMA,Santa-Fe HEV (TMa HEV),Domestic, 741 , 19 , 4 , - , - , - , - , - , - , - , - , - 
HMMA,Santa-Fe (MX5a),Domestic," 1,935 "," 8,882 "," 11,326 "," 10,577 "," 10,474 "," 8,263 "," 6,780 "," 9,518 "," 7,769 "," 10,053 "," 8,141 "," 7,784 "
HMMA,Santa-Fe (MX5a HEV),Domestic, - , - , 40 ," 4,044 "," 4,278 "," 4,160 "," 3,323 "," 3,979 "," 4,067 "," 5,244 "," 3,859 "," 3,487 "
HMMA,GV70 (JKa),Domestic," 3,281 "," 1,565 ", 625 ," 3,120 "," 2,325 ", 915 ," 1,357 "," 1,777 "," 1,739 "," 1,773 "," 1,659 "," 1,262 "
HMMA,GV70 EV (Jka EV),Domestic, 204 , 180 , 192 , 184 , 190 , 370 , 354 , 331 , 168 , 169 , 177 , 129 
HMMA,Elantra(CN7a),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMA,Sonata (DN8a),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMA,Tucson (NX4a),Export, - , - , - , - , - , - ," 1,367 "," 1,166 "," 1,068 "," 1,089 ", 967 ," 1,390 "
HMMA,Tucson OB (NX4a OB),Export, 348 , 563 , 384 , 527 , 313 , 555 , 113 , 289 , 193 , 395 , 230 , 404 
HMMA,Santa-Fe (TMa),Export, 198 , 30 , 9 , - , - , - , - , - , - , - , - , - 
HMMA,Santa-Fe (MX5a),Export, 80 ," 1,233 "," 1,829 "," 1,205 ", 965 , 987 , 859 , 883 , 933 , 682 , 646 , 597 
HMMA,Santa-Fe (MX5a HEV),Export, - , - , - , - , - , - , 7 , - , - , - , - , - 
HMMA,GV70 (JKa),Export, 1 , - , 24 , 28 , 24 , 7 , - , - , 1 , - , - , - 
HMMA,GV70 EV (Jka EV),Export, - , - , 1 , 3 , 1 , 1 , - , - , 1 , - , 4 , - 
HMGMA,Ioniq5 (NEa),Domestic,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"1,006 "
HMGMA,Ioniq5 (NEa),Export,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
HMMC, i30 (PDe),Export," 5,861 "," 4,863 "," 5,174 "," 4,489 "," 6,022 "," 5,711 "," 5,149 "," 3,594 "," 5,238 "," 4,410 "," 1,980 "," 2,344 "
HMMC, i30 (Pde N),Export, 942 ," 1,000 "," 1,184 ", 984 , 249 , 58 , 333 , 226 , 207 , 282 , 62 , 19 
HMMC, Kona EV (OSe EV),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMC, Kona EV (SX2e EV),Export," 3,286 "," 3,146 "," 2,868 "," 2,944 "," 2,859 "," 3,118 "," 2,740 "," 2,393 "," 2,160 "," 1,938 "," 3,283 "," 2,114 "
HMMC, Tucson (TLe),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMC, Tucson (NX4e),Export," 12,572 "," 12,653 "," 10,559 "," 12,803 "," 13,623 "," 9,964 "," 9,855 "," 7,761 "," 12,198 "," 10,991 "," 12,071 "," 11,598 "
HMMC, Tucson HEV (NX4e HEV),Export," 5,763 "," 5,563 "," 5,266 "," 6,871 "," 6,535 "," 6,966 "," 5,476 "," 4,884 "," 7,113 "," 7,961 "," 7,339 "," 5,391 "
HMMC, Tucson PHEV (NX4e PHEV),Export," 2,209 "," 1,636 "," 1,338 "," 2,048 "," 2,107 "," 2,015 "," 2,226 "," 1,452 "," 1,860 "," 2,009 "," 1,571 "," 1,183 "
HMMR,Solaris (HCr),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Creta (SU2r),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Solaris (HCr),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMR,Creta (SU2r),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMB,HB20 (BR2),Domestic," 5,752 "," 6,756 "," 10,697 "," 10,386 "," 10,483 "," 11,871 "," 10,270 "," 11,975 "," 12,370 "," 15,261 "," 14,248 "," 9,420 "
HMB,Creta (GSb),Domestic, 534 , 877 , 362 ," 1,005 ", 890 ," 1,341 "," 1,343 "," 1,192 ", 568 , 341 , 13 , 16 
HMB,Creta (SU2b),Domestic," 4,139 "," 3,261 "," 4,320 "," 4,472 "," 4,485 "," 5,490 "," 5,374 "," 5,840 "," 3,880 "," 7,068 "," 7,165 "," 6,859 "
HMB,HB20 (BR2),Export, 310 ," 1,069 ", 862 , 930 , 760 ," 1,300 ", 721 ," 1,197 ", 716 ," 1,031 "," 1,370 ", 996 
HMB,Creta (GSb),Export, - , - , 48 , 89 , 56 , 64 , 64 , 56 , 56 , 40 , 48 , - 
HMB,Creta (SU2b),Export, 32 , 184 , 72 , 268 , 171 , 106 , 209 , - , 345 , 285 , 172 , 179 
HMMI,Stargazer (KS),Domestic," 1,615 "," 1,964 "," 1,063 ", 755 , 589 ," 1,223 ", 600 , 782 , 618 , 715 , 722 ," 1,039 "
HMMI,Kona EV (SX2id EV) ,Domestic, - , - , - , - , - , - , 304 , 165 , 170 , 176 , 434 , 124 
HMMI,IONIQ5 (NE),Domestic, 752 , 236 , 28 , 27 , 11 , 76 , 62 , 92 , 27 , 44 , 77 , 978 
HMMI,IONIQ5 (NEid N),Domestic, - , - , - , - , - , - , - , - , - , 28 , 10 , 33 
HMMI,Santa-Fe (TMid),Domestic, 116 , 23 , 22 , 37 , 27 , 82 , 36 , 42 , 9 , 17 , 31 , 145 
HMMI,Santa-Fe (MX5id),Domestic, - , - , - , - , - , - , - , - , - , 13 , 3 , 3 
HMMI,Santa-Fe (MX5id HEV),Domestic, - , - , - , - , - , - , - , - , - , 177 , 115 , 171 
HMMI,Creta (SU2id),Domestic," 1,013 ", 877 , 584 , 220 , 193 , 429 , 346 , 449 , 393 , 323 , 108 ," 1,066 "
HMMI,Stargazer (KS),Export, 492 ," 1,318 "," 1,688 "," 1,363 "," 1,986 "," 1,529 "," 2,285 "," 2,230 "," 2,065 "," 1,151 "," 1,012 ", 654 
HMMI,Kona EV (SX2id EV) ,Export, - , - , - , - , - , - , - , - , - , 1 , - , - 
HMMI,IONIQ5 (NE),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMI,IONIQ5 (NEid N),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMI,Santa-Fe (TMid),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMI,Santa-Fe (MX5id),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMI,Santa-Fe (MX5id HEV),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMMI,Creta (SU2id),Export," 3,012 "," 3,147 "," 4,183 "," 2,232 "," 3,459 "," 4,399 "," 4,076 "," 4,458 "," 5,205 "," 2,989 "," 3,328 "," 4,181 "
HTBC,HTBC,Domestic, 50 , 50 , 91 , 94 , 83 , 62 , 80 , 93 , 106 , 162 , 120 , 76 
HTBC,HTBC,Export, 60 , 90 , 68 , 86 , 90 , 121 , 120 , 122 , 101 , 220 , 47 , 11 
KMX,NX4m,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
KMX,HCm,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
KMX,NX4m,Export, - , - , - , - , - , 809 ," 2,378 "," 2,821 "," 2,637 "," 3,048 "," 2,700 "," 2,097 "
KMX,HCm,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Others,Others,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Russia,CV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Vietnam,i10(AI3v 4DR),Domestic, 30 , 120 , 118 , 2 , - , 142 , 32 , 45 , 60 , 50 , 3 , 30 
Vietnam,i10(AI3v 5DR),Domestic, 387 , 359 , 301 , 28 , 5 , 270 , 490 , 621 , 560 , 907 , 389 , 301 
Vietnam,Accent (HCv),Domestic, 896 , 775 ," 1,178 ", 357 , 4 , - , - , - , - , - , - , - 
Vietnam,Accent (BN7v),Domestic, - , - , - , - , 623 , 828 ," 1,557 "," 1,551 "," 1,539 "," 1,592 "," 1,220 ", 615 
Vietnam,Elantra (CN7v),Domestic, 151 , 90 , 87 , 130 , 255 , 223 , 123 , 41 , 227 , 115 , 66 , 65 
Vietnam,Venue (QXv),Domestic, 60 , 4 , 316 , 508 , 698 , 189 , 62 , 40 , 360 , 350 , 290 , 287 
Vietnam,Creta (SU2v),Domestic, 388 , 316 , 821 , 570 , 660 , 563 , 684 , 694 , 663 , 958 , 988 , 444 
Vietnam,Tucson (NX4v),Domestic, 174 , 153 , 325 , 458 , 535 , 380 , 439 , 500 , 248 , 904 ," 1,182 ", 634 
Vietnam,Santa Fe (TMv),Domestic, 57 , 394 , 448 , 349 , 840 , 615 , 416 , 593 , 13 , 2 , - , - 
Vietnam,Santa Fe HEV (TMv HEV),Domestic, 30 , - , 5 , 30 , - , - , - , - , 90 , 24 , 1 , - 
Vietnam,Palisade (LX2v),Domestic, 186 , 208 , 96 , 120 , 270 , 93 , 91 , 51 , 150 , 284 , 76 , 74 
Vietnam,Kusto (KUv),Domestic, 422 , 207 , 89 , 152 , 410 , 147 , 121 , 126 , 411 , 246 , 88 , 7 
Vietnam,IONIQ5 (NEv),Domestic, 30 , - , - , - , - , 29 , - , - , 1 , - , - , - 
Vietnam,Porter (HRv),Domestic, 268 , 181 , 297 , 70 , 447 , 193 , 339 , - , 342 , 268 , 62 , 291 
Vietnam,Mighty (LTv),Domestic, 157 , 113 , 150 , 240 , 90 , 153 , 71 , 198 , 93 , 119 , 210 , 1 
Vietnam,Mighty (VTv),Domestic, 180 , 12 , 168 , 266 , 154 , 240 , 153 , 156 , 278 , 228 , - , 66 
Vietnam,Mighty (QTv),Domestic, 30 , 30 , - , - , 30 , 60 , - , 90 , - , 61 , - , - 
Vietnam,Mighty (QTc),Domestic, - , - , 30 , 21 , 39 , 30 , - , 28 , 2 , - , - , - 
Vietnam,Santa Fe (MX5v),Domestic, - , - , - , - , - , - , - , - , 584 , 630 ," 1,053 ", 418 
Vietnam,Mighty (LTv),Export, 60 , 30 , - , 60 , 60 , - , - , 30 , 60 , 20 , 10 , 60 
Vietnam,Truck,Total, 222 , 129 , 160 , 197 , 324 , 254 , 158 , 323 , 135 , 344 , 278 , 90 
Singapore,IONIQ5 (NE),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Singapore,IONIQ6 (CE),Domestic, - , - , - , - , - , - , - , 1 , 12 , 5 , 7 , 12 
Singapore,IONIQ5 (NE),Export, 20 , 49 , 82 , 74 , 46 , 38 , 52 , 40 , 18 , 21 , 10 , 9 
Singapore,IONIQ5 Robotaxi (NE R),Export, - , 24 , - , - , 3 , - , 13 , 6 , - , - , 1 , - 
CKD,PV,Total," 5,080 "," 4,010 "," 4,905 "," 4,945 "," 5,116 "," 4,534 "," 5,125 "," 4,443 "," 5,375 "," 5,567 "," 5,644 "," 5,348 "
CKD,CV,Total, 30 , 20 , 25 , 34 , 44 , 25 , 50 , 101 , 97 , 40 , 9 , - 
,,,,,,,,,,,,,,
